score,text,category,url
1,"Critical pedagogy is a philosophy of education and social movement that has developed and applied concepts from critical theory and related traditions to the field of education and the study of culture.[1]

Advocates of critical pedagogy reject the idea that knowledge is ever politically neutral and argue that teaching is an inherently political act, whether the teacher acknowledges that or not. They therefore insist that issues of social justice and democracy are not distinct from acts of teaching and learning.[2] The goal of critical pedagogy is emancipation from oppression through an awakening of the critical consciousness, based on the Portuguese term conscientização. When achieved, critical consciousness encourages individuals to affect change in their world through social critique and political action in order to self-actualize.

Critical pedagogy was founded by the Brazilian philosopher and educator Paulo Freire, who promoted it through his 1968 book, Pedagogy of the Oppressed. It subsequently spread internationally, developing a particularly strong base in the United States, where proponents sought to develop means of using teaching to combat racism, sexism, and capitalism. The topic was promoted through peer-review journals such as Radical Teacher. As it grew, it incorporated elements from other leftist-oriented fields like postmodern theory, feminist theory, postcolonial theory, and queer theory.

Critics have argued that it is not appropriate for institutions of higher education to explicitly promote radical political activism among their students. They have suggested that adherents of critical pedagogy have focused on promoting political perspectives in the classroom at the expense of teaching pupils other skills, such as a proficiency in writing. Critics have also suggested that many teachers influenced by critical pedagogy have promoted simplistic ideologically-driven ideas about complex social issues such as racial discrimination and class inequality that they are not qualified to teach.",pedagogy,https://en.wikipedia.org/wiki/Critical_pedagogy
2,"Dialogic learning is learning that takes place through dialogue. It is typically the result of egalitarian dialogue; in other words, the consequence of a dialogue in which different people provide arguments based on validity claims and not on power claims.[1]

The concept of dialogic learning is not a new one. Within the Western tradition, it is frequently linked to the Socratic dialogues. It is also found in many other traditions; for example, the book The Argumentative Indian, written by Nobel Prize of Economics winner Amartya Sen (2005), situates dialogic learning within the Indian tradition and observes that an emphasis on discussion and dialogue spread across Asia with the rise of Buddhism.[2]

In recent times, the concept of dialogic learning has been linked to contributions from various perspectives and disciplines, such as the theory of dialogic action (Freire, 1970), the dialogic inquiry approach (Wells, 1999), the theory of communicative action (Habermas, 1984), the notion of dialogic imagination (Bahktin, 1981) and the dialogical self (Soler, 2004). In addition, the work of an important range of contemporary authors is based on dialogic conceptions. Among those, it is worth mentioning authors like Jack Mezirow (1990, 1991, 2000) and his transformative learning theory; Michael Fielding (2001), who sees students as radical agents of change; Timothy Koschmann (1999), who highlights the potential advantages of adopting dialogicality as the basis of education; and Anne C. Hargrave (2000), who demonstrates that children in dialogic-learning conditions make significantly larger gains in vocabulary, than do children in a less dialogic reading environment.

Specifically, the concept of dialogic learning (Flecha, 2000) evolved from the investigation and observation of how people learn both outside and inside of schools, when acting and learning freely is allowed. At this point, it is important to mention the ""Learning Communities"", an educational project which seeks social and cultural transformation of educational centers and their surroundings through dialogic learning, emphasizing egalitarian dialogue among all community members, including teaching staff, students, families, entities, and volunteers. In the learning communities, it is fundamental the involvement of all members of the community because, as research shows, learning processes, regardless of the learners' ages, and including the teaching staff, depend more on the coordination among all the interactions and activities that take place in different spaces of the learners' lives, like school, home, and workplace, than only on interactions and activities developed in spaces of formal learning, such as classrooms. Along these lines, the ""Learning Communities"" project aims at multiplying learning contexts and interactions with the objective of all students reaching higher levels of development (Vygotsky, 1978).",pedagogy,https://en.wikipedia.org/wiki/Dialogic_learning
3,"Student-centered learning, also known as learner-centered education, broadly encompasses methods of teaching that shift the focus of instruction from the teacher to the student. In original usage, student-centered learning aims to develop learner autonomy and independence [1] by putting responsibility for the learning path in the hands of students by imparting them with skills and basis on how to learn a specific subject and schemata required to measure up to the specific performance requirement.[2][3][4] Student-centered instruction focuses on skills and practices that enable lifelong learning and independent problem-solving.[5] Student-centered learning theory and practice are based on the constructivist learning theory that emphasizes the learner's critical role in constructing meaning from new information and prior experience.

Student-centered learning puts students' interests first, acknowledging student voice as central to the learning experience. In a student-centered learning space, students choose what they will learn, how they will pace their learning[6], and how they will assess their own learning.[4] This is in contrast to traditional education, also dubbed ""teacher-centered learning"", which situates the teacher as the primarily ""active"" role while students take a more ""passive"", receptive role. In a teacher-centered classroom, teachers choose what the students will learn, how the students will learn, and how the students will be assessed on their learning. In contrast, student-centered learning requires students to be active, responsible participants in their own learning and with their own pace of learning.[7]

Usage of the term ""student-centered learning"" may also simply refer to educational mindsets or instructional methods that recognize individual differences in learners.[8] In this sense, student-centered learning emphasizes each student's interests, abilities, and learning styles, placing the teacher as a facilitator of learning for individuals rather than for the class as a whole.",pedagogy,https://en.wikipedia.org/wiki/Student-centred_learning
4,"A hidden curriculum is a side effect of schooling, ""[lessons] which are learned but not openly intended""[1] such as the transmission of norms, values, and beliefs conveyed in the classroom and the social environment.[2] It should be mentioned that the breaktime is an important part of the hidden curriculum.[3]

Any learning experience may include unneeded lessons.[1] Hidden curriculum often refers to knowledge gained in primary and secondary school settings, usually with a negative connotation where the school strives for equal intellectual development (as a positive aim).[4] In this sense, a hidden curriculum reinforces existing social inequalities by educating students according to their class and social status. The unequal distribution of cultural capital in a society mirrors a corresponding distribution of knowledge among its students",pedagogy,https://en.wikipedia.org/wiki/Hidden_curriculum
5,"Pedagogy (/ˈpɛdəɡɒdʒi, -ɡoʊdʒi, -ɡɒɡi/), most commonly understood as the approach to teaching, refers to the theory and practice of learning, and how this process influences, and is influenced by, the social, political and psychological development of learners. Pedagogy, taken as an academic discipline, is the study of how knowledge and skills are imparted in an educational context, and it considers the interactions that take place during learning. Both the theory and practice of pedagogy vary greatly, as they reflect different social, political, and cultural contexts.[1]

Pedagogy is often described as the act of teaching.[2] The pedagogy adopted by teachers shapes their actions, judgments, and other teaching strategies by taking into consideration theories of learning, understandings of students and their needs, and the backgrounds and interests of individual students.[3][4] Its aims may range from furthering liberal education (the general development of human potential) to the narrower specifics of vocational education (the imparting and acquisition of specific skills). Conventional western pedagogies view the teacher as knowledge holder and student as the recipient of knowledge (described by Paulo Freire as ""banking methods""[5]), but theories of pedagogy increasingly identify the student as an agent, and the teacher as a facilitator.

Instructive strategies are governed by the pupil's background knowledge and experience, situation, and environment, as well as learning goals set by the student and teacher. One example would be the Socratic method.[6]

The teaching of adults, as a specific group, is referred to as andragogy.",pedagogy,https://en.wikipedia.org/wiki/Pedagogy
6,"In Scandinavia, a pedagogue (pædagog) is broadly speaking a practitioner of pedagogy, but the term is primarily reserved for individuals who occupy jobs in pre-school education (such as kindergartens and nurseries). A pedagogue can occupy various kinds of jobs, within this restrictive definition, e.g. in retirement homes, prisons, orphanages, and human resource management. When working with at-risk families or youths they are referred to as social pedagogues (socialpædagog).

The pedagogue's job is usually distinguished from a teacher's by primarily focusing on teaching children life-preparing knowledge such as social or non-curriculum skills, and cultural norms. There is also a very big focus on care and well-being of the child. Many pedagogical institutions also practice social inclusion. The pedagogue's work also consists of supporting the child in their mental and social development.[32]

In Denmark all pedagogues are educated at a series of national institutes for social educators located all major cities. The education is a 3.5-year academic course, giving the student the title of a Bachelor in Social Education (Danish: Professionsbachelor som pædagog).[33][34]

It is also possible to earn a master's degree in pedagogy/educational science from the University of Copenhagen. This BA and MA program has a more theoretical focus compared to the more vocational Bachelor in Social Education.",pedagogy,https://en.wikipedia.org/wiki/Pedagogy
7,"An article from Kathmandu Post published on 3 June 2018 described the usual first day of school in an academic calendar. Teachers meet their students with distinct traits. Attributional diversity among these children or teens exceeds similarities. Educators have to teach students with different cultural, social, and religious backgrounds. This situation entails a differentiated strategy in pedagogy and not the traditional approach for teachers to accomplish goals efficientl",pedagogy,
8,"American author and educator Carol Ann Tomlinson defined Differentiated Instruction as ""teachers' efforts in responding to inconsistencies among students in the classroom."" Differentiation refers to methods of teaching.[38] She explained that Differentiated Instruction gives learners a variety of alternatives for acquiring information. Primary principles comprising the structure of Differentiated Instruction include formative and ongoing assessment, group collaboration, recognition of students' diverse levels of knowledge, problem-solving, and choice in reading and writing experiences",pedagogy,
9,"Howard Gardner, developmental psychologist from Harvard University and author of 30 books translated into 32 languages along with several hundreds of articles, gained prominence in the education sector for his Multiple Intelligences Theory.[40] He named seven of these intelligences in 1983. These are Linguistic, Logical and Mathematical, Visual and Spatial, Body and Kinesthetic, Musical and Rhythmic, Intrapersonal, and Interpersonal. Critics say the popular theory during the last 20 years is based only on Gardner's intuition instead of empirical data. Another criticism is that the intelligences are too identical for types of personalities.[41] The theory of Howard Gardner came from cognitive research and states these intelligences help people to ""know the world, understand themselves, and other people."" Said differences dispute an educational system that presumes students can ""understand the same materials in the same manner and that a standardized, collective measure is very much impartial towards linguistic approaches in instruction and assessment as well as to some extent logical and quantitative styles.",pedagogy,
10,"Joint Productive Activity

Teacher and Students Producing Together

Learning occurs most effectively when experts and novices work together for a common product or goal, and are therefore motivated to assist one another. “Providing assistance” is the general definition of teaching; thus, joint productive activity (JPA) maximizes teaching and learning. Working together allows conversation, which teaches language, meaning, and values in the context of immediate issues. Teaching and learning through “joint productive activity” is cross-cultural, typically human, and probably “hard-wired.” This kind of “mentoring” and “learning in action” is characteristic of parents with very young children; of pre-school, graduate school, adult learning, school-to-work and service learning, on-the-job training — of all education, except the common K-12 tradition. In schools, there is ordinarily little joint activity from which common experiences emerge, and therefore no common context that allows students to develop common systems of understanding with the teacher and with one another. Joint activity between teacher and students helps create such a common context of experience within the school itself. This is especially important when the teacher and the students are not of the same background.

Joint activity and discourse allow the highest level of academic achievement: using formal, “schooled,” or “scientific” ideas to solve practical, real world problems. The constant connection of schooled concepts and everyday concepts is basic to the process by which mature schooled thinkers understand the world. These joint activities should be shared by both students and teachers. Only when the teacher also shares the experiences can the kind of discourse take place that builds basic schooled competencies.",pedagogy,https://www.tolerance.org/professional-development/five-standards-of-effective-pedagogy
